"","Date","Total","Anger","Trust"
"348",2021-02-12,656,0.0579268292682927,0.0487804878048781
"349",2021-02-13,519,0.0539499036608863,0.0597302504816956
"350",2021-02-14,495,0.0383838383838384,0.0787878787878788
"351",2021-02-15,474,0.0274261603375527,0.0886075949367089
"352",2021-02-16,605,0.0545454545454545,0.0264462809917355
"353",2021-02-17,727,0.0522696011004127,0.0550206327372765
"354",2021-02-18,637,0.0533751962323391,0.0737833594976452
"355",2021-02-19,620,0.0241935483870968,0.0596774193548387
"356",2021-02-20,427,0.0562060889929742,0.0327868852459016
"357",2021-02-21,573,0.0453752181500873,0.031413612565445
"358",2021-02-22,685,0.0510948905109489,0.0335766423357664
"359",2021-02-23,927,0.0485436893203883,0.0409924487594391
"360",2021-02-24,1661,0.0602046959662854,0.0583985550872968
"361",2021-02-25,862,0.0382830626450116,0.0649651972157773
"362",2021-02-26,553,0.0578661844484629,0.0488245931283906
"363",2021-02-27,482,0.0643153526970954,0.0518672199170125
"364",2021-02-28,564,0.0726950354609929,0.0460992907801418
"365",2021-03-01,608,0.0378289473684211,0.0592105263157895
"366",2021-03-02,609,0.0459770114942529,0.0492610837438424
"367",2021-03-03,681,0.0455212922173275,0.0455212922173275
"368",2021-03-04,622,0.0562700964630225,0.0498392282958199
"369",2021-03-05,616,0.0535714285714286,0.0405844155844156
"370",2021-03-06,428,0.0537383177570093,0.0397196261682243
"371",2021-03-07,428,0.0537383177570093,0.0420560747663551
"372",2021-03-08,488,0.0430327868852459,0.0430327868852459
"373",2021-03-09,641,0.0499219968798752,0.0608424336973479
"374",2021-03-10,752,0.0625,0.0492021276595745
"375",2021-03-11,1289,0.0574088440651668,0.0527540729247479
"376",2021-03-12,988,0.0404858299595142,0.0576923076923077
"377",2021-03-13,691,0.0376266280752533,0.040520984081042
"378",2021-03-14,474,0.0506329113924051,0.0464135021097046
"379",2021-03-15,527,0.0265654648956357,0.0398481973434535
"380",2021-03-16,599,0.0333889816360601,0.0567612687813022
"381",2021-03-17,598,0.0384615384615385,0.0551839464882943
"382",2021-03-18,627,0.0478468899521531,0.062200956937799
"383",2021-03-19,514,0.0428015564202335,0.0525291828793774
"384",2021-03-20,350,0.0485714285714286,0.06
